m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,100,25,100,1.0794057142857143,0.503618904773649,0.8884864451404473,3.9200000000000004,4.66919228
200,200,50,100,1.0889600000000002,0.5099067873799196,0.8813530573125462,3.94,6.04132378
300,300,75,100,1.0738793650793652,0.5054734626423805,0.8850815174367375,3.9519999999999995,7.21662678
400,400,100,100,1.0606714285714287,0.502639502673557,0.8840045690767443,3.96,22.699703579999998
500,500,125,100,1.0436205714285713,0.4970694231442662,0.8848515520662575,3.9488,37.45245172
1000,1000,250,100,1.0103474285714287,0.4895043305297448,0.886405740313173,3.9736000000000002,153.49949350000003
1500,1500,375,100,0.9881831619047619,0.4857435064457854,0.8882715794494587,3.9776000000000002,350.69346772
2000,2000,500,100,0.9729740571428571,0.48415086708577304,0.8891376033180387,3.9799999999999995,663.8567467
2500,2500,625,100,0.9662491062857143,0.48363964980376395,0.8890554693897015,3.9823999999999997,1056.50227026
3000,3000,750,100,0.958585853968254,0.4847848828627882,0.8889704907560818,3.986666666666666,1548.35517506
3500,3500,875,100,0.9533343720116619,0.4850808709582509,0.8890926836900102,3.9856000000000003,2246.4876243
4000,4000,1000,100,0.9468631142857143,0.48568051996875045,0.8891770684884314,3.9874,3123.42079856
4500,4500,1125,100,0.9429587527336862,0.4883725410326984,0.8905262245991358,3.9879111111111114,4252.874876880001
5000,5000,1250,100,0.9380561371428573,0.4888713290417598,0.8906210479452085,3.9873600000000002,5546.921468799999
