m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,100,25,100,1.4344685714285714,0.6691747871052063,0.8887361658574262,3.9200000000000004,4.97107406
200,200,50,100,1.4189828571428573,0.6643833114182558,0.8815889941602995,3.94,9.88028282
300,300,75,100,1.3469612698412698,0.6339224449092445,0.8852925059904196,3.9519999999999995,15.423911320000002
400,400,100,100,1.3253314285714286,0.6280261782824128,0.8842358498760824,3.96,33.99501894
500,500,125,100,1.277533257142857,0.608472963281972,0.8850854472229097,3.9520000000000004,54.90010438
1000,1000,250,100,1.1579794285714287,0.5610000969014719,0.8866294478955673,3.9752,254.78016608000001
1500,1500,375,100,1.0821725460317462,0.5319382311550587,0.888483597771563,3.9781333333333335,611.19422476
2000,2000,500,100,1.0370324571428573,0.5160258117120697,0.8893390474578208,3.9799999999999995,1183.21637028
2500,2500,625,100,1.0136450194285715,0.5073606224947342,0.8892477641587732,3.9827200000000005,1975.3815889999998
3000,3000,750,100,0.9917987047619047,0.5015797454272655,0.8891506005288055,3.9858666666666664,3058.1849082999997
3500,3500,875,100,0.977145618658892,0.4971953035695302,0.8892610185664861,3.9853714285714283,4578.6530292
4000,4000,1000,100,0.9638480285714286,0.49438814060344516,0.889337363032156,3.9878,6498.21429652
4500,4500,1125,100,-1.0,-1.0,-1.0,-1.0,-1.0
5000,5000,1250,100,-1.0,-1.0,-1.0,-1.0,-1.0
