m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.8460342857142857,0.7890425405398156,0.8822780878741975,1.0,0.36075767999999997
200,100,50,100,0.867782857142857,0.818944495179994,0.8799807440786195,1.0,3.79530996
300,150,75,100,0.8864914285714287,0.844062665943253,0.8857495548590423,1.0,6.32147962
400,200,100,100,0.8929857142857143,0.8518730247794212,0.8791850555743517,1.0,8.10849078
500,250,125,100,0.8823588571428571,0.8524012928366813,0.8781432001281212,1.0,10.38244284
1000,500,250,100,0.8971753142857143,0.8980763781812133,0.8705046881282698,1.0,62.6255758
1500,750,375,100,0.9060542984126985,0.9248230153285062,0.8620067356283327,1.0,137.07665641999998
2000,1000,500,100,0.9095180571428572,0.9433722277678616,0.8601817126787281,1.0,222.30966936
2500,1250,625,100,0.899725385142857,0.9512257596496922,0.8582995195482169,1.0,356.0826089
3000,1500,750,100,0.8928334222222223,0.954770499113683,0.8604092124471021,1.0,537.4720604
3500,1750,875,100,0.8816651195335277,0.9626579493059146,0.8590841123051378,1.0,784.4780257
4000,2000,1000,100,0.8728559142857144,0.9630228090700512,0.8554304389530258,1.0,1060.4265093999998
4500,2250,1125,100,0.8670462419753087,0.9701396452333857,0.8585414852694495,1.0,1421.6483606400002
5000,2500,1250,100,0.8602169051428572,0.9690489564793788,0.8555849367276119,1.0,1800.50621932
