m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.9036342857142857,0.8318859481688362,0.8822373563299439,1.0,0.24972560000000002
200,100,50,100,0.9384114285714287,0.8685497795913022,0.8798775341768691,1.0,2.2598933199999998
300,150,75,100,0.9609396825396825,0.8923854835980224,0.8856074822099325,1.0,3.0237256599999998
400,200,100,100,0.9645314285714287,0.8959120858509945,0.8789986321352936,1.0,3.9967958
500,250,125,100,0.9525741714285715,0.8884164054811204,0.877896668756031,1.0,4.7266067
1000,500,250,100,0.9588585142857143,0.9046388050436096,0.8699794895680315,1.0,37.814558840000004
1500,750,375,100,0.9616497777777777,0.912886495112318,0.8611826764763636,1.0,95.5319803
2000,1000,500,100,0.9567643428571427,0.912544796504452,0.8590638746882266,1.0,175.15574397999998
2500,1250,625,100,0.9525835337142856,0.9147453688811737,0.8570254799282921,1.0,267.42392634
3000,1500,750,100,0.9482360888888888,0.9137054929400197,0.8590073521215429,1.0,418.3430154199999
3500,1750,875,100,0.9466205294460641,0.9186418649060075,0.8575621032933096,1.0,545.6214528
4000,2000,1000,100,0.9442202857142858,0.9193421932122338,0.8538015802847084,1.0,735.06127832
4500,2250,1125,100,0.9415526038800704,0.9209170381724784,0.856809684260095,1.0,1046.20725484
5000,2500,1250,100,0.9410791497142856,0.9218394886732707,0.8537576071209989,1.0,1265.1270554
