m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.9748114285714286,0.897437947538459,0.8825234321573993,1.0,0.24550595999999997
200,100,50,100,1.004857142857143,0.9300497251023497,0.8800957603706785,1.0,2.6632663
300,150,75,100,1.0291149206349206,0.9557009053719507,0.8858634172487065,1.0,4.13564046
400,200,100,100,1.0313228571428572,0.9579526180473046,0.8792723872884409,1.0,5.83346558
500,250,125,100,1.0228388571428573,0.953955217121408,0.8782414925545627,1.0,7.018575240000001
1000,500,250,100,1.0319634285714288,0.9736134566003564,0.8703824611948028,1.0,40.16089042
1500,750,375,100,1.0409740190476189,0.9881887812427458,0.861659923740698,1.0,98.17256912
2000,1000,500,100,1.0391968,0.9911627230919622,0.8596001405153141,1.0,169.58914341999997
2500,1250,625,100,1.034628754285714,0.9935333788625383,0.8575481510988208,1.0,274.61600224
3000,1500,750,100,1.0322300952380952,0.9946426853656364,0.859584613577562,1.0,384.77911338
3500,1750,875,100,1.0305977469387755,1.0001368182663997,0.85809769958054,1.0,554.9701812400001
4000,2000,1000,100,1.0287571714285713,1.0016519306888503,0.8543346561995167,1.0,761.9120083200002
4500,2250,1125,100,1.0270854998236332,1.0045759813850361,0.8573760107275954,1.0,1022.4456346
5000,2500,1250,100,1.0264637622857145,1.0054782457968203,0.8543033166397003,1.0,1285.6190090599998
