m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.9640799999999998,0.5071930934700076,0.8220802586949706,1.8960000000000001,4.6738928
200,100,50,100,0.96608,0.5109475018931321,0.8210850282839794,1.94,273.24009381999997
300,150,75,100,0.9681422222222222,0.5137678588515617,0.820905034249727,1.9626666666666668,662.2731220000001
400,200,100,100,0.9716950000000001,0.5157679519151389,0.8150458810900792,1.968,1278.93699766
500,250,125,100,0.9711871999999999,0.5175923177984637,0.816829796141746,1.9616,2258.4397300600003
1000,500,250,100,-1.0,-1.0,-1.0,-1.0,-1.0
1500,750,375,100,-1.0,-1.0,-1.0,-1.0,-1.0
2000,1000,500,100,-1.0,-1.0,-1.0,-1.0,-1.0
2500,1250,625,100,-1.0,-1.0,-1.0,-1.0,-1.0
3000,1500,750,100,-1.0,-1.0,-1.0,-1.0,-1.0
3500,1750,875,100,-1.0,-1.0,-1.0,-1.0,-1.0
4000,2000,1000,100,-1.0,-1.0,-1.0,-1.0,-1.0
4500,2250,1125,100,-1.0,-1.0,-1.0,-1.0,-1.0
5000,2500,1250,100,-1.0,-1.0,-1.0,-1.0,-1.0
