m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.9636800000000001,0.5069825200069433,0.8220793348518644,1.888,4.45737182
200,100,50,100,0.9659600000000002,0.5108840643837729,0.8210849710693557,1.94,241.35895951999996
300,150,75,100,0.9681155555555556,0.5137537142400126,0.8209050115315876,1.9626666666666668,401.04780664
400,200,100,100,0.9716950000000001,0.5157679590688152,0.8150458771618847,1.968,665.28584812
500,250,125,100,0.9711871999999999,0.5175923053991862,0.8168297760251126,1.9616,1090.0323280400003
1000,500,250,100,-1.0,-1.0,-1.0,-1.0,-1.0
1500,750,375,100,-1.0,-1.0,-1.0,-1.0,-1.0
2000,1000,500,100,-1.0,-1.0,-1.0,-1.0,-1.0
2500,1250,625,100,-1.0,-1.0,-1.0,-1.0,-1.0
3000,1500,750,100,-1.0,-1.0,-1.0,-1.0,-1.0
3500,1750,875,100,-1.0,-1.0,-1.0,-1.0,-1.0
4000,2000,1000,100,-1.0,-1.0,-1.0,-1.0,-1.0
4500,2250,1125,100,-1.0,-1.0,-1.0,-1.0,-1.0
5000,2500,1250,100,-1.0,-1.0,-1.0,-1.0,-1.0
